__main__ - 2023-10-15 12:36:57,517 - INFO - запуск построения списка
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='DIR', parent='', name='hw15', count=21, size=195962)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='hw15', name='dir_tree2.py', count='', size=3208)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='hw15', name='logging.log', count='', size=92)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='hw15', name='main.py', count='', size=703)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='hw15', name='__init__.py', count='', size=0)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='DIR', parent='hw15', name='__pycache__', count=1, size=4027)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='__pycache__', name='dir_tree2.cpython-311.pyc', count='', size=4027)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='DIR', parent='hw15', name='files2', count=0, size=0)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='DIR', parent='hw15', name='files', count=16, size=187932)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='0000.py0', count='', size=0)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='11111.py', count='', size=20664)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='222.22.py', count='', size=5418)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='3333..py', count='', size=0)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='444_04.py', count='', size=2842)
__main__ - 2023-10-15 12:36:57,518 - INFO - Data(type='File', parent='files', name='5555.py', count='', size=54)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='DIR', parent='files', name='files_3', count=6, size=158634)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_3', name='0000.py0', count='', size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_3', name='11111.py', count='', size=11340)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_3', name='222.22.py', count='', size=135954)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='DIR', parent='files_3', name='files_4', count=3, size=11340)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_4', name='0000.py0', count='', size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_4', name='11111.py', count='', size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_4', name='222.22.py', count='', size=11340)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='DIR', parent='files_4', name='empty', count=0, size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='DIR', parent='files', name='files_2', count=4, size=320)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_2', name='0000.py0', count='', size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_2', name='11111.py', count='', size=0)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_2', name='222.22.py', count='', size=320)
__main__ - 2023-10-15 12:36:57,519 - INFO - Data(type='File', parent='files_2', name='5555.py', count='', size=0)
__main__ - 2023-10-15 12:37:10,448 - INFO - запуск построения списка
__main__ - 2023-10-15 12:37:10,448 - INFO - Data(type='DIR', parent='', name='files2', count=0, size=0)
